Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
doug emhoff stresses a personal push against antisemitism,8/9/2024,New York Times,8
doug emhoff’s fight against antisemitism meets a fraught new moment,1/29/2024,Washington Post,8
dreaming of a getaway,12/24/2023,New York Times,8
dutch court convicts man who projected antisemitic message on anne frank museum,10/19/2023,AP News,8
ed flynn has no regrets,12/14/2023,Politico,8
education department official resigns over biden administration’s approach to israel-hamas war,1/3/2024,CNN,8
education dept investigates claims of discrimination against palestinian students at harvard,2/7/2024,New York Times,8
"education dept investigating alleged antisemitism, islamophobia at 6 colleges",11/17/2023,Axios,8
education dept is investigating six more colleges over campus discrimination,12/13/2023,New York Times,8
education secretary calls antisemitism on campuses ‘abhorrent’ and ‘unacceptable’,4/30/2024,New York Times,8
education secretary: schools that protect students will keep their federal money,11/17/2023,Politico,8
egypt’s gaza problem,10/19/2023,Atlantic,8
el discurso de odio antisemita y antimusulmán prolifera en internet,11/20/2023,New York Times,8
elise stefanik generates vp speculation as she campaigns with trump,1/21/2024,Washington Post,8
elise stefanik has gained widespread attention in antisemitism hearings,5/23/2024,New York Times,8
elise stefanik has gained widespread attention in recent antisemitism hearings,5/8/2024,New York Times,8
elise stefanik's star rises after college president takedown,12/10/2023,Axios,8
elite colleges failed to fight antisemitism but these academics did,11/5/2023,Washington Post,8
elite universities face turmoil over antisemitism concerns,12/11/2023,New York Times,8
elite universities get tougher on antisemitism,11/11/2023,Axios,8
elon musk backs antisemitic claim; tesla shares tumble,11/16/2023,Axios,8
elon musk blasted for antisemitic hate as fallout spreads from tweet,11/17/2023,USATODAY,8
elon musk visits auschwitz amid uproar over antisemitism on x,1/23/2024,USATODAY,8
elon musk visits destroyed kibbutz and meets netanyahu in wake of antisemitic post,11/28/2023,CNN,8
elon musk visits israel amid backlash against his endorsement of antisemitic post,11/27/2023,New York Times,8
"elon musk, kamala harris, jamie dimon will speak at the dealbook summit",10/12/2023,New York Times,8
elon musk’s embrace of israel unlikely to ease x’s advertiser concerns,11/29/2023,Washington Post,8
elon musk's x sues media matters over report on ads beside antisemitic content,11/21/2023,Axios,8
emhoff visits new york’s cornell university as he seeks to reassure jewish community after threats,11/9/2023,AP News,8
emhoff: there is an ‘antisemitism crisis’ on our nation’s campuses,11/4/2023,Politico,8
european cities see vigils to oppose antisemitism and rallies seeking relief for gaza,11/6/2023,AP News,8
ex-cornell student sentenced to 21 months for making antisemitic threats,8/12/2024,New York Times,8
ex-rideshare driver accused in california antisemitic attack charged with federal hate crime,3/13/2024,AP News,8
ex-state dept official ordered to bias training after anti-muslim rant,1/18/2024,New York Times,8
examining the israel-hamas war's local impact,11/16/2023,Axios,8
exclusive: blinken says israel is taking important steps to better protect civilians in southern gaza,12/6/2023,CNN,8
exclusive: group of jewish leaders defends israel criticism,2/1/2024,Axios,8
faculty freedoms get tested at uc,3/20/2024,Politico,8
"famously obstinate, bill ackman is now real-life famous what next?",3/24/2024,New York Times,8
far-right polish politician puts out menorah with fire extinguisher,12/13/2023,Washington Post,8
"fbi, police on alert as reports of antisemitism, islamophobia surge",11/8/2023,USATODAY,8
fear and anguish amid a rise in antisemitism,11/30/2023,New York Times,8
"february 10, 2024 israel-hamas war",2/10/2024,CNN,8
"february 12, 2024 israel-hamas war",2/13/2024,CNN,8
"february 13, 2024 israel-hamas war",2/13/2024,CNN,8
"february 2, 2024 israel-hamas war",2/2/2024,CNN,8
"february 6, 2024 israel-hamas war",2/7/2024,CNN,8
federal civil rights investigation opened into antisemitism at harvard,11/29/2023,New York Times,8
"feeling alone and estranged, many jews at harvard wonder what’s next",12/16/2023,New York Times,8
festival’s rejection of menorah lighting leads to accusations of antisemitism,12/5/2023,Washington Post,8
"fewer young americans plan to vote in 2024, harvard youth poll finds",12/5/2023,Washington Post,8
fighting in southern gaza city as israel widens its offensive,12/6/2023,AP News,8
five-year-old palestinian girl found dead after being trapped in car under israeli fire,2/11/2024,CNN,8
"florida jewish republican tears into desantis, endorses trump",10/24/2023,Politico,8
florida pauses plan to disband pro-palestinian student groups,11/11/2023,AP News,8
florida senate unanimously passes bill to define antisemitism,2/28/2024,AP News,8
florida university system says it has not deactivated students for justice in palestine chapters,11/9/2023,CNN,8
"florida welcomes students fleeing campus antisemitism, with little evidence that there’s demand",1/10/2024,AP News,8
"for american jews, biden’s speech on antisemitism offers recognition and healing",5/7/2024,New York Times,8
"for harvard’s first black president, race became the unavoidable issue",1/4/2024,New York Times,8
"for palestinian americans and activists, doxxing is nothing new",10/15/2023,CNN,8
"for some democratic jews, heightened worries about antisemitism",8/11/2024,New York Times,8
forget the bomb and help iranians fight their regime,10/21/2023,Atlantic,8
former harvard president blames 'demagogues' for her downfall,1/3/2024,Politico,8
former obama adviser: don’t let politicians take over harvard,12/10/2023,Politico,8
former staffers rip warren over israel response,10/20/2023,Politico,8
former us ambassador jon huntsman to cease donations to upenn over school’s response to hamas attack,10/16/2023,Politico,8
four misconceptions about the war in gaza,10/18/2023,Atlantic,8
foxx launches penn antisemitism probe,1/24/2024,Politico,8
france denounces ‘largest antisemitic massacre of our century’ in tribute to victims of hamas attack,2/7/2024,AP News,8
france has banned pro-palestinian protests and vowed to protect jews from resurgent antisemitism,10/12/2023,AP News,8
france vows a ‘merciless fight’ against antisemitism after anti-jewish graffiti is found in paris,10/31/2023,AP News,8
french far-right leader marine le pen raises a storm over her plan to march against antisemitism,11/10/2023,AP News,8
"french holocaust survivors are recoiling at new antisemitism, and activists are pleading for peace",11/19/2023,AP News,8
french league suspends atal for 7 games for sharing an antisemitic message on social media,10/25/2023,AP News,8
"from boycotts to firebombs, israel-gaza war brings wave of antisemitism",11/1/2023,Washington Post,8
from bullet holes to bloodstains: documenting a synagogue mass killing,10/27/2023,Washington Post,8
"from the holocaust to hamas, antisemitism is an unending plague",11/1/2023,USATODAY,8
fueling online antisemitism is china’s new tool against the west,1/8/2024,Washington Post,8
furor over the ivies — and crickets about florida,12/8/2023,Washington Post,8
gaetz under fire for defending antisemitism vote with antisemitic trope,5/2/2024,Politico,8
gaza mediators and others warn israel of disaster if it launches a ground invasion on crowded rafah,2/10/2024,AP News,8
gaza rescuers go missing on mission to save girl trapped in a car,2/3/2024,New York Times,8
gen z and the political gender rift,4/5/2024,Politico,8
georgia codifies antisemitism after yearlong fight,1/31/2024,Axios,8
georgia governor signs bill that would define antisemitism in state law,1/31/2024,AP News,8
"georgia lawmakers, in support of israel, pass bill that would define antisemitism in state law",1/26/2024,AP News,8
german leaders voice outrage and thousands rally in berlin in reaction to rising antisemitism,10/22/2023,AP News,8
german police raid homes of 17 people accused of posting antisemitic hate speech on social media,11/21/2023,AP News,8
german-israeli singer admits he lied when accusing hotel of antisemitism in a video that went viral,11/28/2023,AP News,8
germans commemorate ‘night of broken glass’ terror as antisemitism is on the rise again,11/10/2023,AP News,8
giving birth in gaza,12/2/2023,Atlantic,8
google’s antitrust setback could remake the mobile app world,12/12/2023,New York Times,8
"gop campaign staffer ""liked"" antisemitic memes",5/8/2024,Axios,8
gop candidates call for campus crackdowns against anti-israel speech,10/25/2023,New York Times,8
gop contenders cast biden as too weak on iran,11/9/2023,Axios,8
gop lawmakers sink aid to penn as statehouses watch how universities are handling israel-hamas war,12/14/2023,AP News,8
"gop puts israel and antisemitism front and center, courting us jews",7/18/2024,New York Times,8
"got time for milk? an overwhelmed house, somehow, does",12/13/2023,New York Times,8
gov hochul announces $75 million to combat hate crimes in new york,10/31/2023,New York Times,8
growing oct 7 ‘truther’ groups say hamas massacre was a false flag,1/21/2024,Washington Post,8
gwu suspends group over projection of pro-palestinian slogans,11/15/2023,Washington Post,8
haley accuses desantis of tolerating antisemitism,1/10/2024,New York Times,8
haley offers scathing critique of trump at jewish republican event in las vegas,10/28/2023,New York Times,8
"haley slams desantis for stumping in iowa with massie, who’s opposed votes condemning antisemitism",12/18/2023,AP News,8
"haley touts israel record, rips trump as ‘chaos, vendettas, and drama’ at gop jewish summit",10/30/2023,Washington Post,8
hamas call for ‘day of rage’ protests heightens tensions in us,10/13/2023,Washington Post,8
"hamas could inspire attacks on jewish and muslim people, fbi director says",10/31/2023,Axios,8
hamas is not isis,10/27/2023,Atlantic,8
hamas may not have a step two,10/11/2023,Atlantic,8
hamas must go,11/14/2023,Atlantic,8
hamas took this israeli family hostage inside the fight to free them,11/1/2023,USATODAY,8
"hamas war, antisemitism have pulled me closer to my jewish roots",12/14/2023,USATODAY,8
hamas’s hostage-taking handbook says to ‘kill the difficult ones’ and use hostages as ‘human shields’,10/19/2023,Atlantic,8
hanukkah message of light in darkness feels uniquely relevant to us jews amid war and antisemitism,12/7/2023,AP News,8
"hanukkah: celebrations continue despite fears, rising antisemitism",12/8/2023,USATODAY,8
happy budget day to those who observe,2/27/2024,Politico,8
harvard agitators turn their ire toward penny pritzker,1/4/2024,Politico,8
harvard and the new campus politics,1/3/2024,New York Times,8
harvard board keeps president as leader of ivy league school following antisemitism backlash,12/12/2023,AP News,8
harvard board says claudine gay will remain president after antisemitism hearing backlash,12/12/2023,Axios,8
harvard clears its president of ‘research misconduct’ after plagiarism charges,12/12/2023,New York Times,8
harvard condemns ‘flagrantly antisemitic’ cartoon posted by student groups,2/21/2024,Washington Post,8
"harvard condemns ""attacks"" against president claudine gay as she steps down",1/2/2024,Axios,8
